date,cases,deaths
21/01/2020,1,0
22/01/2020,1,0
23/01/2020,1,0
24/01/2020,2,0
25/01/2020,3,0
26/01/2020,5,0
27/01/2020,5,0
28/01/2020,5,0
29/01/2020,5,0
30/01/2020,6,0
31/01/2020,7,0
01/02/2020,8,0
02/02/2020,11,0
03/02/2020,11,0
04/02/2020,11,0
05/02/2020,12,0
06/02/2020,12,0
07/02/2020,12,0
08/02/2020,12,0
09/02/2020,12,0
10/02/2020,13,0
11/02/2020,13,0
12/02/2020,14,0
13/02/2020,15,0
14/02/2020,15,0
15/02/2020,15,0
16/02/2020,15,0
17/02/2020,25,0
18/02/2020,25,0
19/02/2020,25,0
20/02/2020,27,0
21/02/2020,30,0
22/02/2020,30,0
23/02/2020,30,0
24/02/2020,43,0
25/02/2020,45,0
26/02/2020,60,0
27/02/2020,60,0
28/02/2020,65,0
29/02/2020,70,1
01/03/2020,88,3
02/03/2020,104,6
03/03/2020,125,10
04/03/2020,161,12
05/03/2020,228,12
06/03/2020,311,15
07/03/2020,428,19
08/03/2020,547,22
09/03/2020,748,26
10/03/2020,1018,31
11/03/2020,1263,37
12/03/2020,1668,43
13/03/2020,2224,50
14/03/2020,2898,60
15/03/2020,3600,68
16/03/2020,4507,91
17/03/2020,5906,117
18/03/2020,8350,162
19/03/2020,12393,212
20/03/2020,18012,277
21/03/2020,24528,360
22/03/2020,33073,458
23/03/2020,43505,579
24/03/2020,53938,785
25/03/2020,68572,1054
26/03/2020,85570,1353
27/03/2020,102900,1770
28/03/2020,123966,2300
29/03/2020,142486,2718
30/03/2020,163955,3368
31/03/2020,188461,4304
01/04/2020,215391,5325
02/04/2020,245108,6541
03/04/2020,277426,7932
04/04/2020,312525,9488
05/04/2020,338141,10856
06/04/2020,369057,12382
07/04/2020,399394,14616
08/04/2020,431214,16701
09/04/2020,465913,18821
10/04/2020,499386,21084
11/04/2020,531106,23168
12/04/2020,558249,24849
13/04/2020,584018,26613
14/04/2020,610709,29318
15/04/2020,640742,32070
16/04/2020,672355,34419
17/04/2020,703864,36708
18/04/2020,732262,38659
19/04/2020,757596,40179
20/04/2020,784991,42016
21/04/2020,810505,44688
22/04/2020,839336,47059
23/04/2020,873112,49228
24/04/2020,909853,51360
25/04/2020,944261,53327
26/04/2020,970996,54580
27/04/2020,994193,56022
28/04/2020,1018844,58416
29/04/2020,1045399,60930
30/04/2020,1075756,63140
01/05/2020,1109726,64902
02/05/2020,1139200,66485
03/05/2020,1165340,67816
04/05/2020,1187302,68905
05/05/2020,1211011,71139
06/05/2020,1235517,73847
07/05/2020,1263995,75805
08/05/2020,1291643,77380
09/05/2020,1316511,78834
10/05/2020,1336828,79766
11/05/2020,1354449,80748
12/05/2020,1376749,82400
13/05/2020,1397894,84168
14/05/2020,1424856,85906
15/05/2020,1451093,87499
16/05/2020,1474752,88724
17/05/2020,1493766,89568
18/05/2020,1515593,90414
19/05/2020,1536570,91934
20/05/2020,1559640,93411
21/05/2020,1585373,94722
22/05/2020,1609172,96010
23/05/2020,1631440,97060
24/05/2020,1651471,97680
25/05/2020,1670571,98190
26/05/2020,1689467,98937
27/05/2020,1708211,100422
28/05/2020,1730723,101622
29/05/2020,1755271,102812
30/05/2020,1778668,103775
31/05/2020,1799302,104379
01/06/2020,1821199,105113
02/06/2020,1841990,106195
03/06/2020,1861977,107184
04/06/2020,1883593,108192
05/06/2020,1912302,109304
06/06/2020,1934818,110032
07/06/2020,1953434,110422
08/06/2020,1971641,111144
09/06/2020,1990446,112174
10/06/2020,2013298,113103
11/06/2020,2036500,113980
12/06/2020,2061993,114759
13/06/2020,2087327,115451
14/06/2020,2106457,115768
15/06/2020,2126574,116216
16/06/2020,2151459,116985
17/06/2020,2177114,117746
18/06/2020,2205173,118473
19/06/2020,2236009,119171
20/06/2020,2268034,119717
21/06/2020,2294413,119974
22/06/2020,2324879,120334
23/06/2020,2359939,121167
24/06/2020,2396928,121934
25/06/2020,2438101,124400
26/06/2020,2483629,125033
27/06/2020,2525928,125544
28/06/2020,2565436,125815
29/06/2020,2604932,126162
30/06/2020,2653321,127462
01/07/2020,2703296,128104
02/07/2020,2758855,128827
03/07/2020,2816009,129418
04/07/2020,2866015,129679
05/07/2020,2910782,129941
06/07/2020,2958098,130332
07/07/2020,3012182,131290
08/07/2020,3071637,132238
09/07/2020,3131526,133079
10/07/2020,3199753,133907
11/07/2020,3260474,134582
12/07/2020,3318279,134977
13/07/2020,3379846,135402
14/07/2020,3445448,136356
15/07/2020,3513790,137327
16/07/2020,3589477,138285
17/07/2020,3660400,139186
18/07/2020,3722851,139961
19/07/2020,3785126,140373
20/07/2020,3845014,140904
21/07/2020,3910291,142031
22/07/2020,3980030,143167
23/07/2020,4050036,144283
24/07/2020,4123561,145429
25/07/2020,4190337,146313
26/07/2020,4244554,146753
27/07/2020,4303735,148449
28/07/2020,4366851,149776
29/07/2020,4433467,151172
30/07/2020,4502581,152433
31/07/2020,4571669,153862
01/08/2020,4628497,154917
02/08/2020,4679291,155337
03/08/2020,4726775,155945
04/08/2020,4780324,157301
05/08/2020,4834047,158554
06/08/2020,4891561,159625
07/08/2020,4952718,160981
08/08/2020,5007958,161947
09/08/2020,5056438,162486
10/08/2020,5103611,163023
11/08/2020,5156968,164474
12/08/2020,5211246,165952
13/08/2020,5265307,167165
14/08/2020,5324784,168341
15/08/2020,5375527,169400
16/08/2020,5417664,169914
17/08/2020,5455187,170449
18/08/2020,5498420,171798
19/08/2020,5541433,173093
20/08/2020,5587462,174136
21/08/2020,5636491,175297
22/08/2020,5681517,176247
23/08/2020,5713850,176693
24/08/2020,5754254,177197
25/08/2020,5793437,178410
26/08/2020,5838756,179603
27/08/2020,5884366,180729
28/08/2020,5930930,181739
29/08/2020,5975540,182610
30/08/2020,6008970,182984
31/08/2020,6045455,183472
01/09/2020,6089504,184563
02/09/2020,6121948,185639
03/09/2020,6168342,186717
04/09/2020,6220446,187697
05/09/2020,6262700,188409
06/09/2020,6292699,188820
07/09/2020,6317865,189083
08/09/2020,6346806,189541
09/09/2020,6380138,190716
10/09/2020,6418198,191631
11/09/2020,6465766,192858
12/09/2020,6504870,193559
13/09/2020,6538213,193958
14/09/2020,6575100,194408
15/09/2020,6614317,195689
16/09/2020,6653585,196686
17/09/2020,6698895,197535
18/09/2020,6747782,198484
19/09/2020,6789593,199154
20/09/2020,6825949,199367
21/09/2020,6880899,199797
22/09/2020,6918290,200738
23/09/2020,6959841,201828
24/09/2020,7005043,202713
25/09/2020,7059624,203566
26/09/2020,7102321,204335
27/09/2020,7139619,204602
28/09/2020,7176979,204952
29/09/2020,7220676,205878
30/09/2020,7262734,206852
01/10/2020,7309152,207699
02/10/2020,7362732,208564
03/10/2020,7410511,209273
04/10/2020,7445574,209606
05/10/2020,7507956,210035
06/10/2020,7550841,210756
07/10/2020,7603856,211752
08/10/2020,7660231,212680
09/10/2020,7719190,213595
10/10/2020,7770838,214187
11/10/2020,7815621,214606
12/10/2020,7863637,214957
13/10/2020,7917996,215783
14/10/2020,7977889,216792
15/10/2020,8043229,217585
16/10/2020,8113706,218476
17/10/2020,8166467,219154
18/10/2020,8214349,219541
19/10/2020,8279780,220058
20/10/2020,8340387,220987
21/10/2020,8404616,222195
22/10/2020,8479704,223023
23/10/2020,8564812,223948
24/10/2020,8643568,224821
25/10/2020,8703280,225160
26/10/2020,8777723,225698
27/10/2020,8852176,226681
28/10/2020,8934078,227697
29/10/2020,9024844,228701
30/10/2020,9124628,229672
31/10/2020,9208926,230510
01/11/2020,9283162,230937
02/11/2020,9376821,231477
03/11/2020,9469433,232607
04/11/2020,9577346,234223
05/11/2020,9698875,235331
06/11/2020,9831722,236577
07/11/2020,9957654,237584
08/11/2020,10061070,238048
09/11/2020,10191410,238793
10/11/2020,10331156,240258
11/11/2020,10474016,241689
12/11/2020,10637418,242861
13/11/2020,10818612,244250
